example_id,domain,cell,gold_answer,generated_answer,normalised_gold,normalised_generated,exact_match_correct,answer_containment_label
geo_001,geography,A,Europe," Europe

Fact 1: The Danube River flows through the capital of what",europe,europe fact 1: the danube river flows through the capital of what,True,exact_match
geo_001,geography,B,Europe," Europe

Fact 1: Paris is the capital of France.
Fact 2",europe,europe fact 1: paris is the capital of france. fact 2,True,exact_match
geo_001,geography,C,Europe," Europe

Q: The city of Paris is located on what continent?
Step ",europe,europe q: the city of paris is located on what continent? step,True,exact_match
geo_001,geography,D,Europe," Europe

Fact 1: The Earth is tilted on its axis.
Fact ",europe,europe fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_001,geography,E,Europe,,europe,,False,wrong
geo_002,geography,A,Asia," Asia

Fact 1: The Danube River flows through the capital of what",asia,asia fact 1: the danube river flows through the capital of what,True,exact_match
geo_002,geography,B,Asia," the city of Tokyo is located on what continent?
A: the city of Tokyo",asia,city of tokyo is located on what continent? a: the city of tokyo,False,wrong
geo_002,geography,C,Asia," Asia

Fact 1: Tokyo is the capital of Japan.
Fact 2",asia,asia fact 1: tokyo is the capital of japan. fact 2,True,exact_match
geo_002,geography,D,Asia," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,asia fact 1: the earth is tilted on its axis. fact,True,exact_match
geo_002,geography,E,Asia,,asia,,False,wrong
geo_003,geography,A,the Australian dollar," the Australian dollar

Fact 1: The Danube River flows through the capital",australian dollar,australian dollar fact 1: the danube river flows through the capital,True,exact_match
geo_003,geography,B,the Australian dollar," the Australian dollar as its currency.
Fact 2: The first satellite Sput",australian dollar,australian dollar as its currency. fact 2: the first satellite sput,False,contains_correct_answer
geo_003,geography,C,the Australian dollar," the Australian dollar

Fact 1: Canberra is the capital of a country that",australian dollar,australian dollar fact 1: canberra is the capital of a country that,True,exact_match
geo_003,geography,D,the Australian dollar," the Australian dollar

Fact 1: The Earth is tilted on its axis.
",australian dollar,australian dollar fact 1: the earth is tilted on its axis,True,exact_match
geo_003,geography,E,the Australian dollar,,australian dollar,,False,wrong
geo_004,geography,A,North America," North America

Fact 1: The Danube River flows through the capital of",north america,north america fact 1: the danube river flows through the capital of,True,exact_match
