example_id,condition,layer,gold_answer,gold_first_token,gold_token_id,gold_logit,gold_rank,is_top1,top1_token,top1_logit
geo_006,cell_A,0,South America,South,3684,0.8711,17832,0,amsbsy,12.7422
geo_006,cell_A,1,South America,South,3684,0.6299,19874,0,bserver,10.4375
geo_006,cell_A,2,South America,South,3684,-0.8857,33913,0,,10.5312
geo_006,cell_A,3,South America,South,3684,-1.2578,36824,0,,10.3516
geo_006,cell_A,4,South America,South,3684,-0.9854,34854,0,,9.3594
geo_006,cell_A,5,South America,South,3684,-1.4238,38359,0,doct,9.375
geo_006,cell_A,6,South America,South,3684,-2.0781,42499,0,Syrac,9.4062
geo_006,cell_A,7,South America,South,3684,-1.6406,40225,0,doct,8.9062
geo_006,cell_A,8,South America,South,3684,-3.3652,48115,0,CLUDING,7.8945
geo_006,cell_A,9,South America,South,3684,-3.5879,48325,0,vess,9.2109
geo_006,cell_A,10,South America,South,3684,-2.9277,46886,0,HECK,8.3047
geo_006,cell_A,11,South America,South,3684,-3.2695,47756,0,laug,10.3984
geo_006,cell_A,12,South America,South,3684,-3.8398,48914,0,prehens,11.5938
geo_006,cell_A,13,South America,South,3684,0.1432,23627,0,answ,9.5
geo_006,cell_A,14,South America,South,3684,1.8672,8421,0,answ,10.7344
geo_006,cell_A,15,South America,South,3684,3.2949,2212,0,answ,11.0859
geo_006,cell_A,16,South America,South,3684,4.0469,783,0,geography,9.0391
geo_006,cell_A,17,South America,South,3684,5.2656,184,0,continents,11.5547
geo_006,cell_A,18,South America,South,3684,5.9414,95,0,continents,11.7578
geo_006,cell_A,19,South America,South,3684,6.9844,33,0,Europe,11.4453
geo_006,cell_A,20,South America,South,3684,7.4141,35,0,Europe,11.5
geo_006,cell_A,21,South America,South,3684,8.1094,19,0,Europe,11.3828
geo_006,cell_A,22,South America,South,3684,9.3125,9,0,Europe,11.4219
geo_006,cell_A,23,South America,South,3684,10.1641,6,0,The,11.1172
geo_006,cell_A,24,South America,South,3684,10.7109,4,0,The,11.6562
geo_006,cell_A,25,South America,South,3684,11.0078,3,0,The,12.3672
geo_006,cell_A,26,South America,South,3684,10.7188,5,0,The,12.4922
geo_006,cell_A,27,South America,South,3684,11.1562,3,0,The,12.1172
geo_006,cell_A,28,South America,South,3684,11.5078,3,0,The,12.5312
geo_006,cell_A,29,South America,South,3684,11.8125,3,0,The,12.5703
geo_006,cell_A,30,South America,South,3684,13.0391,1,0,North,13.8516
geo_006,cell_A,31,South America,South,3684,14.5938,1,0,North,14.7891
geo_006,cell_C,0,South America,South,3684,-0.2893,28764,0,,12.1016
geo_006,cell_C,1,South America,South,3684,-0.1992,27662,0,pril,11.8906
geo_006,cell_C,2,South America,South,3684,0.0807,24675,0,pril,10.7812
geo_006,cell_C,3,South America,South,3684,-0.1917,27262,0,,10.6953
geo_006,cell_C,4,South America,South,3684,0.6768,18713,0,phis,10.3047
geo_006,cell_C,5,South America,South,3684,0.1018,24267,0,answ,10.6562
geo_006,cell_C,6,South America,South,3684,-1.875,42219,0,PLIED,9.5
geo_006,cell_C,7,South America,South,3684,-1.6299,40761,0,PLIED,9.9844
geo_006,cell_C,8,South America,South,3684,-3.4629,48682,0,PLIED,10.1953
geo_006,cell_C,9,South America,South,3684,-3.1816,47813,0,CURI,9.375
geo_006,cell_C,10,South America,South,3684,-2.4902,45540,0,PLIED,9.7656
geo_006,cell_C,11,South America,South,3684,-2.668,46404,0,CURI,10.0781
geo_006,cell_C,12,South America,South,3684,-4.2695,49689,0,CURI,12.0156
geo_006,cell_C,13,South America,South,3684,0.751,17062,0,orche,8.9297
geo_006,cell_C,14,South America,South,3684,1.54,10029,0,orche,9.7734
geo_006,cell_C,15,South America,South,3684,2.2539,5184,0,orche,9.7188
geo_006,cell_C,16,South America,South,3684,2.4395,3978,0,orche,9.1875
geo_006,cell_C,17,South America,South,3684,4.918,186,0,ocean,9.9219
geo_006,cell_C,18,South America,South,3684,5.8281,70,0,continent,10.5547
geo_006,cell_C,19,South America,South,3684,6.8555,23,0,continent,10.3047
geo_006,cell_C,20,South America,South,3684,7.8672,15,0,Europe,10.4375
geo_006,cell_C,21,South America,South,3684,9.1641,5,0,Europe,10.625
geo_006,cell_C,22,South America,South,3684,10.6328,3,0,North,11.375
geo_006,cell_C,23,South America,South,3684,11.4219,0,1,South,11.4219
geo_006,cell_C,24,South America,South,3684,11.8125,2,0,North,11.8672
geo_006,cell_C,25,South America,South,3684,11.9062,2,0,the,12.3672
geo_006,cell_C,26,South America,South,3684,11.8203,2,0,the,12.5547
geo_006,cell_C,27,South America,South,3684,12.0625,1,0,North,12.1016
geo_006,cell_C,28,South America,South,3684,12.4609,2,0,the,12.7109
geo_006,cell_C,29,South America,South,3684,12.625,1,0,North,12.75
geo_006,cell_C,30,South America,South,3684,14.0,1,0,North,14.3203
geo_006,cell_C,31,South America,South,3684,16.4219,0,1,South,16.4219
geo_029,cell_A,0,the Pacific Ocean,the,253,-2.0469,41616,0,amsbsy,12.6406
geo_029,cell_A,1,the Pacific Ocean,the,253,-2.5664,44378,0,bserver,10.4375
geo_029,cell_A,2,the Pacific Ocean,the,253,-3.0391,46667,0,,10.5938
geo_029,cell_A,3,the Pacific Ocean,the,253,-2.6641,45428,0,,10.375
geo_029,cell_A,4,the Pacific Ocean,the,253,-4.3242,49447,0,fraid,9.4297
geo_029,cell_A,5,the Pacific Ocean,the,253,-4.0547,49197,0,doct,9.3125
geo_029,cell_A,6,the Pacific Ocean,the,253,-4.9297,49852,0,Syrac,9.9375
geo_029,cell_A,7,the Pacific Ocean,the,253,-2.8984,46643,0,therap,9.2891
geo_029,cell_A,8,the Pacific Ocean,the,253,-2.9922,47107,0,géné,7.7734
geo_029,cell_A,9,the Pacific Ocean,the,253,-4.4141,49554,0,prehens,9.1406
geo_029,cell_A,10,the Pacific Ocean,the,253,-3.0234,47314,0,prehens,8.625
geo_029,cell_A,11,the Pacific Ocean,the,253,-2.7852,46279,0,laug,9.7969
geo_029,cell_A,12,the Pacific Ocean,the,253,-2.2578,43791,0,vess,9.7656
