model,example_id,domain,source_cell,donor_cell,layer,hook,token_position,control,alpha,split,gold_answer,gold_token_id,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1,random_seed
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,none,0.0,test,Asia,13622,17.34375,17.34375,0.0,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,none,0.25,test,Asia,13622,17.34375,17.9375,0.59375,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,none,0.5,test,Asia,13622,17.34375,18.390625,1.046875,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,none,0.75,test,Asia,13622,17.34375,18.578125,1.234375,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,none,1.0,test,Asia,13622,17.34375,18.390625,1.046875,4,5,-1,0,0,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,none,0.0,test,South America,4882,19.125,19.125,0.0,1,1,0,0,0,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,none,0.25,test,South America,4882,19.125,19.953125,0.828125,1,0,1,0,1,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,none,0.5,test,South America,4882,19.125,20.671875,1.546875,1,0,1,0,1,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,none,0.75,test,South America,4882,19.125,21.203125,2.078125,1,0,1,0,1,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,none,1.0,test,South America,4882,19.125,21.453125,2.328125,1,0,1,0,1,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,none,0.0,test,Africa,10174,17.828125,17.828125,0.0,2,2,0,0,0,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,none,0.25,test,Africa,10174,17.828125,18.296875,0.46875,2,4,-2,0,0,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,none,0.5,test,Africa,10174,17.828125,18.59375,0.765625,2,4,-2,0,0,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,none,0.75,test,Africa,10174,17.828125,18.578125,0.75,2,4,-2,0,0,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,32,resid_post,final_prompt_token,none,1.0,test,Africa,10174,17.828125,18.203125,0.375,2,4,-2,0,0,
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,none,0.0,test,Asia,13622,19.828125,19.828125,0.0,1,1,0,0,0,
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,none,0.25,test,Asia,13622,19.828125,20.703125,0.875,1,0,1,0,1,
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,none,0.5,test,Asia,13622,19.828125,21.375,1.546875,1,0,1,0,1,
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,none,0.75,test,Asia,13622,19.828125,21.65625,1.828125,1,0,1,0,1,
Qwen/Qwen2.5-3B,geo_019,geography,B,D,32,resid_post,final_prompt_token,none,1.0,test,Asia,13622,19.828125,21.5,1.671875,1,0,1,0,1,
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,none,0.0,test,South America,4882,18.109375,18.109375,0.0,3,3,0,0,0,
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,none,0.25,test,South America,4882,18.109375,18.71875,0.609375,3,2,1,0,0,
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,none,0.5,test,South America,4882,18.109375,19.15625,1.046875,3,1,2,0,0,
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,none,0.75,test,South America,4882,18.109375,19.421875,1.3125,3,2,1,0,0,
Qwen/Qwen2.5-3B,geo_022,geography,B,D,32,resid_post,final_prompt_token,none,1.0,test,South America,4882,18.109375,19.5,1.390625,3,2,1,0,0,
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,none,0.0,test,NATO,29234,12.484375,12.484375,0.0,13,13,0,0,0,
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,none,0.25,test,NATO,29234,12.484375,12.6328125,0.1484375,13,11,2,0,0,
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,none,0.5,test,NATO,29234,12.484375,12.7578125,0.2734375,13,10,3,0,0,
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,none,0.75,test,NATO,29234,12.484375,12.8828125,0.3984375,13,11,2,0,0,
Qwen/Qwen2.5-3B,geo_025,geography,B,D,32,resid_post,final_prompt_token,none,1.0,test,NATO,29234,12.484375,13.0078125,0.5234375,13,10,3,0,0,
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,none,0.0,test,Asia,13622,18.78125,18.78125,0.0,2,2,0,0,0,
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,none,0.25,test,Asia,13622,18.78125,19.5,0.71875,2,2,0,0,0,
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,none,0.5,test,Asia,13622,18.78125,20.125,1.34375,2,2,0,0,0,
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,none,0.75,test,Asia,13622,18.78125,20.46875,1.6875,2,2,0,0,0,
Qwen/Qwen2.5-3B,geo_028,geography,B,D,32,resid_post,final_prompt_token,none,1.0,test,Asia,13622,18.78125,20.515625,1.734375,2,1,1,0,0,
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,none,0.0,test,Asia,13622,18.65625,18.65625,0.0,1,1,0,0,0,
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,none,0.25,test,Asia,13622,18.65625,19.421875,0.765625,1,2,-1,0,0,
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,none,0.5,test,Asia,13622,18.65625,19.984375,1.328125,1,2,-1,0,0,
Qwen/Qwen2.5-3B,geo_035,geography,B,D,32,resid_post,final_prompt_token,none,0.75,test,Asia,13622,18.65625,20.171875,1.515625,1,3,-2,0,0,
