example_id,domain,layer,hook_name,metric,gold_answer,gold_token_id,gold_token_str,gold_token_count,direct_token_count,structured_token_count,baseline_score,patched_score,delta,valid_example,skip_reason
geo_006,geography,0,blocks.0.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.3359375,-0.25,True,
geo_006,geography,1,blocks.1.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.7421875,0.15625,True,
geo_006,geography,2,blocks.2.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.8125,0.2265625,True,
geo_006,geography,3,blocks.3.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.6875,0.1015625,True,
geo_006,geography,4,blocks.4.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.46875,-0.1171875,True,
geo_006,geography,5,blocks.5.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.734375,0.1484375,True,
geo_006,geography,6,blocks.6.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.9375,0.3515625,True,
geo_006,geography,7,blocks.7.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.6171875,0.03125,True,
geo_006,geography,8,blocks.8.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.453125,-0.1328125,True,
geo_006,geography,9,blocks.9.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.734375,0.1484375,True,
geo_006,geography,10,blocks.10.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,14.7421875,0.15625,True,
geo_006,geography,11,blocks.11.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.609375,1.0234375,True,
geo_006,geography,12,blocks.12.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.7109375,1.125,True,
geo_006,geography,13,blocks.13.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.015625,1.4296875,True,
geo_006,geography,14,blocks.14.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.359375,0.7734375,True,
geo_006,geography,15,blocks.15.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.09375,0.5078125,True,
geo_006,geography,16,blocks.16.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.203125,0.6171875,True,
geo_006,geography,17,blocks.17.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.453125,0.8671875,True,
geo_006,geography,18,blocks.18.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.6328125,1.046875,True,
geo_006,geography,19,blocks.19.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.6953125,1.109375,True,
geo_006,geography,20,blocks.20.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.546875,0.9609375,True,
geo_006,geography,21,blocks.21.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.8828125,1.296875,True,
geo_006,geography,22,blocks.22.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,15.9140625,1.328125,True,
geo_006,geography,23,blocks.23.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.1875,1.6015625,True,
geo_006,geography,24,blocks.24.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.140625,1.5546875,True,
geo_006,geography,25,blocks.25.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.25,1.6640625,True,
geo_006,geography,26,blocks.26.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.328125,1.7421875,True,
geo_006,geography,27,blocks.27.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.203125,1.6171875,True,
geo_006,geography,28,blocks.28.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.234375,1.6484375,True,
geo_006,geography,29,blocks.29.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.25,1.6640625,True,
geo_006,geography,30,blocks.30.hook_resid_post,logit,South America,3684, South,2,250,250,14.5859375,16.375,1.7890625,True,
