model,example_id,domain,source_cell,donor_cell,layer,hook,token_position,control,random_seed,alpha,split,gold_answer,gold_token_id,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1,diagnostic,vector_l2_norm,n_train_valid,n_test_valid
Qwen/Qwen2.5-3B,geo_002,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Asia,13622,17.34375,17.875,0.53125,4,4,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_002,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Asia,13622,17.34375,18.25,0.90625,4,4,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_002,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Asia,13622,17.34375,18.28125,0.9375,4,5,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_002,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Asia,13622,17.34375,17.921875,0.578125,4,5,-1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_006,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,South America,4882,19.125,19.8125,0.6875,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_006,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,South America,4882,19.125,20.296875,1.171875,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_006,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,South America,4882,19.125,20.5,1.375,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_006,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,South America,4882,19.125,20.34375,1.21875,1,1,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_007,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Africa,10174,17.828125,18.234375,0.40625,2,4,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_007,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Africa,10174,17.828125,18.484375,0.65625,2,4,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_007,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Africa,10174,17.828125,18.546875,0.71875,2,4,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_007,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Africa,10174,17.828125,18.453125,0.625,2,4,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_019,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Asia,13622,19.828125,20.609375,0.78125,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_019,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,Asia,13622,19.828125,21.09375,1.265625,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_019,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,Asia,13622,19.828125,21.09375,1.265625,1,0,1,0,1,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_019,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,Asia,13622,19.828125,20.640625,0.8125,1,3,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_022,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,South America,4882,18.109375,18.609375,0.5,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_022,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,South America,4882,18.109375,18.8125,0.703125,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_022,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,South America,4882,18.109375,18.71875,0.609375,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_022,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,South America,4882,18.109375,18.453125,0.34375,3,2,1,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_025,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,NATO,29234,12.484375,12.6015625,0.1171875,13,10,3,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_025,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.5,test,NATO,29234,12.484375,12.671875,0.1875,13,11,2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_025,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.75,test,NATO,29234,12.484375,12.671875,0.1875,13,13,0,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_025,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,1.0,test,NATO,29234,12.484375,12.59375,0.109375,13,15,-2,0,0,layer_sweep,83.96696472167969,72,32
Qwen/Qwen2.5-3B,geo_028,geography,B,D,31,resid_post,final_prompt_token,layer_sweep,,0.25,test,Asia,13622,18.78125,19.421875,0.640625,2,2,0,0,0,layer_sweep,83.96696472167969,72,32
