model,example_id,domain,source_cell,donor_cell,layer,hook,token_position,control,alpha,split,gold_answer,gold_token_id,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1,random_seed
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,17.34375,17.34375,0.0,4,4,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,17.34375,17.53125,0.1875,4,4,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,17.34375,17.671875,0.328125,4,2,2,0,0,seed_42
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,17.34375,17.796875,0.453125,4,1,3,0,0,seed_42
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,17.34375,17.875,0.53125,4,1,3,0,0,seed_42
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,17.34375,17.34375,0.0,4,4,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,17.34375,17.484375,0.140625,4,4,0,0,0,seed_43
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,17.34375,17.578125,0.234375,4,3,1,0,0,seed_43
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,17.34375,17.609375,0.265625,4,1,3,0,0,seed_43
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,17.34375,17.578125,0.234375,4,1,3,0,0,seed_43
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,Asia,13622,17.34375,17.34375,0.0,4,4,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,Asia,13622,17.34375,17.390625,0.046875,4,4,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,Asia,13622,17.34375,17.375,0.03125,4,4,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,Asia,13622,17.34375,17.3125,-0.03125,4,4,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_002,geography,B,D,32,resid_post,final_prompt_token,random,1.0,test,Asia,13622,17.34375,17.203125,-0.140625,4,4,0,0,0,seed_44
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.0,test,South America,4882,19.125,19.125,0.0,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.25,test,South America,4882,19.125,19.0625,-0.0625,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.5,test,South America,4882,19.125,18.96875,-0.15625,1,1,0,0,0,seed_42
Qwen/Qwen2.5-3B,geo_006,geography,B,D,32,resid_post,final_prompt_token,random,0.75,test,South America,4882,19.125,18.84375,-0.28125,1,1,0,0,0,seed_42
