example_id,domain,layer,component,hook_name,metric,gold_answer,gold_token_id,gold_token_str,gold_token_count,direct_token_count,structured_token_count,baseline_score,patched_score,delta,valid_example,skip_reason
geo_006,geography,24,attn_out,blocks.24.hook_attn_out,logit,South America,3684, South,2,250,250,14.5859375,14.5703125,-0.015625,True,
geo_006,geography,24,mlp_out,blocks.24.hook_mlp_out,logit,South America,3684, South,2,250,250,14.5859375,14.546875,-0.0390625,True,
geo_006,geography,25,attn_out,blocks.25.hook_attn_out,logit,South America,3684, South,2,250,250,14.5859375,14.7265625,0.140625,True,
geo_006,geography,25,mlp_out,blocks.25.hook_mlp_out,logit,South America,3684, South,2,250,250,14.5859375,14.671875,0.0859375,True,
geo_006,geography,29,attn_out,blocks.29.hook_attn_out,logit,South America,3684, South,2,250,250,14.5859375,14.625,0.0390625,True,
geo_006,geography,29,mlp_out,blocks.29.hook_mlp_out,logit,South America,3684, South,2,250,250,14.5859375,14.46875,-0.1171875,True,
geo_006,geography,30,attn_out,blocks.30.hook_attn_out,logit,South America,3684, South,2,250,250,14.5859375,14.6640625,0.078125,True,
geo_006,geography,30,mlp_out,blocks.30.hook_mlp_out,logit,South America,3684, South,2,250,250,14.5859375,14.734375,0.1484375,True,
geo_006,geography,31,attn_out,blocks.31.hook_attn_out,logit,South America,3684, South,2,250,250,14.5859375,14.7109375,0.125,True,
geo_006,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,South America,3684, South,2,250,250,14.5859375,15.046875,0.4609375,True,
geo_029,geography,24,attn_out,blocks.24.hook_attn_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.15625,-0.0703125,True,
geo_029,geography,24,mlp_out,blocks.24.hook_mlp_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.140625,-0.0859375,True,
geo_029,geography,25,attn_out,blocks.25.hook_attn_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.234375,0.0078125,True,
geo_029,geography,25,mlp_out,blocks.25.hook_mlp_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.1484375,-0.078125,True,
geo_029,geography,29,attn_out,blocks.29.hook_attn_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.171875,-0.0546875,True,
geo_029,geography,29,mlp_out,blocks.29.hook_mlp_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.328125,0.1015625,True,
geo_029,geography,30,attn_out,blocks.30.hook_attn_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.28125,0.0546875,True,
geo_029,geography,30,mlp_out,blocks.30.hook_mlp_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.1875,-0.0390625,True,
geo_029,geography,31,attn_out,blocks.31.hook_attn_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.3125,0.0859375,True,
geo_029,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,the Pacific Ocean,253, the,3,261,261,13.2265625,13.046875,-0.1796875,True,
geo_030,geography,24,attn_out,blocks.24.hook_attn_out,logit,the Atlantic Ocean,253, the,3,239,239,13.109375,13.078125,-0.03125,True,
geo_030,geography,24,mlp_out,blocks.24.hook_mlp_out,logit,the Atlantic Ocean,253, the,3,239,239,13.109375,13.2734375,0.1640625,True,
geo_030,geography,25,attn_out,blocks.25.hook_attn_out,logit,the Atlantic Ocean,253, the,3,239,239,13.109375,13.1171875,0.0078125,True,
geo_030,geography,25,mlp_out,blocks.25.hook_mlp_out,logit,the Atlantic Ocean,253, the,3,239,239,13.109375,13.2421875,0.1328125,True,
geo_030,geography,29,attn_out,blocks.29.hook_attn_out,logit,the Atlantic Ocean,253, the,3,239,239,13.109375,13.078125,-0.03125,True,
geo_030,geography,29,mlp_out,blocks.29.hook_mlp_out,logit,the Atlantic Ocean,253, the,3,239,239,13.109375,13.15625,0.046875,True,
geo_030,geography,30,attn_out,blocks.30.hook_attn_out,logit,the Atlantic Ocean,253, the,3,239,239,13.109375,13.1796875,0.0703125,True,
