example_id,domain,cell,generated_answer_raw,generated_answer_normalised,gold_answer,correct,error,input_token_count,output_token_count
geo_001,geography,A," Europe

Fact 1: The Danube River flows through the capital of what",europe,Europe,True,False,237,16
geo_001,geography,B," Europe

Fact 1: Paris is the capital of France.
Fact 2",europe,Europe,True,False,237,16
geo_001,geography,C," Europe

Q: The city of Paris is located on what continent?
Step ",europe,Europe,True,False,237,16
geo_001,geography,D," Europe

Fact 1: The Earth is tilted on its axis.
Fact ",europe,Europe,True,False,237,16
geo_001,geography,E,,,Europe,False,False,237,1
geo_002,geography,A," Asia

Fact 1: The Danube River flows through the capital of what",asia,Asia,True,False,234,16
geo_002,geography,B," the city of Tokyo is located on what continent?
A: the city of Tokyo",the city of tokyo is located on what continent,Asia,False,False,234,16
geo_002,geography,C," Asia

Fact 1: Tokyo is the capital of Japan.
Fact 2",asia,Asia,True,False,234,16
geo_002,geography,D," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,Asia,True,False,234,16
geo_002,geography,E,,,Asia,False,False,234,1
geo_003,geography,A," the Australian dollar

Fact 1: The Danube River flows through the capital",the australian dollar,the Australian dollar,True,False,251,16
geo_003,geography,B," the Australian dollar as its currency.
Fact 2: The first satellite Sput",the australian dollar as its currency,the Australian dollar,False,False,251,16
geo_003,geography,C," the Australian dollar

Fact 1: Canberra is the capital of a country that",the australian dollar,the Australian dollar,True,False,251,16
geo_003,geography,D," the Australian dollar

Fact 1: The Earth is tilted on its axis.
",the australian dollar,the Australian dollar,True,False,251,16
geo_003,geography,E,,,the Australian dollar,False,False,251,1
geo_004,geography,A," North America

Fact 1: The Danube River flows through the capital of",north america,North America,True,False,235,16
geo_004,geography,B," the continent of Canada.
Fact 2: The continent of Canada is located on",the continent of canada,North America,False,False,235,16
geo_004,geography,C," North America

Q: The city of Ottawa is located on what continent?
Step",north america,North America,True,False,235,16
geo_004,geography,D," North America

Fact 1: The Earth is tilted on its axis.
Fact",north america,North America,True,False,235,16
geo_004,geography,E,,,North America,False,False,235,1
geo_005,geography,A," the European Union

Fact 1: The Danube River flows through the capital",the european union,the European Union,True,False,248,16
geo_005,geography,B," the European Union

Q: Berlin is the capital of the most populous country in",the european union,the European Union,True,False,248,16
geo_005,geography,C," the European Union

Q: Berlin is the capital of the most populous country in",the european union,the European Union,True,False,248,16
geo_005,geography,D," the European Union
You are an AI assistant that helps people find information. User",the european union,the European Union,True,False,248,16
geo_005,geography,E,,,the European Union,False,False,248,1
geo_006,geography,A," South America

Fact 1: The Danube River flows through the capital of",south america,South America,True,False,249,16
geo_006,geography,B," the continent of Brasilia is located in the abdomen.

Fact 1: Bras",the continent of brasilia is located in the abdomen,South America,False,False,249,16
geo_006,geography,C," South America

Q: The city of Brasilia is located on what continent?
",south america,South America,True,False,249,16
geo_006,geography,D," South America

Fact 1: The Earth is tilted on its axis.
Fact",south america,South America,True,False,249,16
geo_006,geography,E,,,South America,False,False,249,1
geo_007,geography,A," Africa

Fact 1: The Danube River flows through the capital of what",africa,Africa,True,False,241,16
geo_007,geography,B," the city of Cairo is located in the capital of what country?
A: the",the city of cairo is located in the capital of what country,Africa,False,False,241,16
geo_007,geography,C," Africa

Fact 1: Cairo is the capital of Egypt.
Fact 2",africa,Africa,True,False,241,16
geo_007,geography,D," Africa

Fact 1: The Earth is tilted on its axis.
Fact ",africa,Africa,True,False,241,16
geo_007,geography,E,,,Africa,False,False,241,1
geo_008,geography,A," Asia

Fact 1: The Danube River flows through the capital of what",asia,Asia,True,False,242,16
geo_008,geography,B," Beijing is the capital of China.
Fact 2: Bats are the only",beijing is the capital of china,Asia,False,False,242,16
geo_008,geography,C," Asia

Q: The city of Beijing is located on what continent?
Step ",asia,Asia,True,False,242,16
geo_008,geography,D," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,Asia,True,False,242,16
geo_008,geography,E,,,Asia,False,False,242,1
geo_009,geography,A," the largest land area of any country

Fact 1: The Danube River",the largest land area of any country,largest land area,False,False,244,16
geo_009,geography,B," the capital of Russia.
Fact 2: The capital of Russia.
Fact ",the capital of russia,largest land area,False,False,244,16
geo_009,geography,C," the capital of the country is located in the country.

Fact 1: Moscow",the capital of the country is located in the country,largest land area,False,False,244,16
geo_009,geography,D," Russia has the largest land area of any country.
You are an AI assistant that",russia has the largest land area of any country,largest land area,False,False,244,16
geo_009,geography,E,,,largest land area,False,False,244,1
geo_010,geography,A," the Pacific Ocean

Fact 1: The Danube River flows through the capital",the pacific ocean,the Pacific Ocean,True,False,238,16
geo_010,geography,B," Lima is the capital of Peru.
Fact 2: Cacti store water",lima is the capital of peru,the Pacific Ocean,False,False,238,16
geo_010,geography,C," the Pacific Ocean

Fact 1: Lima is the capital of Peru.
Fact",the pacific ocean,the Pacific Ocean,True,False,238,16
geo_010,geography,D," The Pacific Ocean

Fact 1: The Earth is tilted on its axis.
",the pacific ocean,the Pacific Ocean,True,False,238,16
geo_010,geography,E,,,the Pacific Ocean,False,False,238,1
geo_011,geography,A," Europe

Fact 1: The Danube River flows through the capital of what",europe,Europe,True,False,231,16
geo_011,geography,B," Madrid is located in Europe.
Fact 1: Madrid is located in Europe.
",madrid is located in europe,Europe,False,False,231,16
geo_011,geography,C," Europe

Fact 1: Madrid is the capital of Spain.
Fact 2",europe,Europe,True,False,231,16
geo_011,geography,D," Europe

Fact 1: The Earth is tilted on its axis.
Fact ",europe,Europe,True,False,231,16
geo_011,geography,E,,,Europe,False,False,231,1
geo_012,geography,A," the euro

Fact 1: The Danube River flows through the capital of",the euro,the euro,True,False,242,16
geo_012,geography,B," the abdomen

Fact 1: Rome is the capital of Italy.
Fact ",the abdomen,the euro,False,False,242,16
geo_012,geography,C," the euro

Fact 1: Rome is the capital of a country that uses",the euro,the euro,True,False,242,16
geo_012,geography,D," The euro

Fact 1: The Earth is tilted on its axis.
Fact",the euro,the euro,True,False,242,16
geo_012,geography,E,,,the euro,False,False,242,1
geo_013,geography,A," Africa

Fact 1: The Danube River flows through the capital of what",africa,Africa,True,False,240,16
geo_013,geography,B," Africa

Fact 1: Nairobi is the capital of Kenya.
Fact 2",africa,Africa,True,False,240,16
geo_013,geography,C," Africa

Fact 1: Nairobi is the capital of Kenya.
Fact 2",africa,Africa,True,False,240,16
geo_013,geography,D," Africa

Fact 1: The Earth is tilted on its axis.
Fact ",africa,Africa,True,False,240,16
geo_013,geography,E,,,Africa,False,False,240,1
geo_014,geography,A," South America

Fact 1: Buenos Aires is the capital of Argentina.
Fact",south america,South America,True,False,243,16
geo_014,geography,B," the continent is located in the abdomen

Fact 1: Buenos Aires is the",the continent is located in the abdomen,South America,False,False,243,16
geo_014,geography,C," South America

Q: Buenos Aires is located on what continent?
Step 1",south america,South America,True,False,243,16
geo_014,geography,D," South America

Fact 1: The Earth is tilted on its axis.
Fact",south america,South America,True,False,243,16
geo_014,geography,E,,,South America,False,False,243,1
geo_015,geography,A," Asia

Fact 1: The Danube River flows through the capital of what",asia,Asia,True,False,244,16
geo_015,geography,B," the continent of Asia.
Fact 2: The continent of Asia is located on",the continent of asia,Asia,False,False,244,16
geo_015,geography,C," Asia

Q: The city of Bangkok is located on what continent?
Step ",asia,Asia,True,False,244,16
geo_015,geography,D," Asia

Fact 1: The Earth is tilted on its axis.
Fact ",asia,Asia,True,False,244,16
geo_015,geography,E,,,Asia,False,False,244,1
geo_016,geography,A," the United Kingdom

Fact 1: The Danube River flows through the capital",the united kingdom,the United Kingdom,True,False,250,16
geo_016,geography,B," the United Kingdom
B: The first modern novel is often considered to be Don",the united kingdom,the United Kingdom,True,False,250,16
geo_016,geography,C," the United Kingdom

Q: London is the capital of a country that is part",the united kingdom,the United Kingdom,True,False,250,16
geo_016,geography,D," the United Kingdom
You are an AI assistant that helps people find information. User",the united kingdom,the United Kingdom,True,False,250,16
geo_016,geography,E,,,the United Kingdom,False,False,250,1
geo_017,geography,A," 2004

Fact 1: The Danube River flows through",2004,2004,True,False,257,16
geo_017,geography,B," 2004
Fact 1: 2004
",2004,2004,True,False,257,16
geo_017,geography,C," 2004

Q: Warsaw is the capital of a country that",2004,2004,True,False,257,16
geo_017,geography,D," 2004
You are an AI assistant that helps people find information",2004,2004,True,False,257,16
geo_017,geography,E,,,2004,False,False,257,1
geo_018,geography,A," the Mediterranean Sea

Fact 1: The Danube River flows through the capital",the mediterranean sea,the Mediterranean Sea,True,False,242,16
