source_file,example_id,domain,layer,hook,control,alpha,gold_answer,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1,helped_hurt_label
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_002,geography,32,resid_post,none,0.0,Asia,17.34375,17.34375,0.0,4,4,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_002,geography,32,resid_post,none,0.25,Asia,17.34375,17.9375,0.59375,4,4,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_002,geography,32,resid_post,none,0.5,Asia,17.34375,18.390625,1.046875,4,4,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_002,geography,32,resid_post,none,0.75,Asia,17.34375,18.578125,1.234375,4,4,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_002,geography,32,resid_post,none,1.0,Asia,17.34375,18.390625,1.046875,4,5,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_006,geography,32,resid_post,none,0.0,South America,19.125,19.125,0.0,1,1,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_006,geography,32,resid_post,none,0.25,South America,19.125,19.953125,0.828125,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_006,geography,32,resid_post,none,0.5,South America,19.125,20.671875,1.546875,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_006,geography,32,resid_post,none,0.75,South America,19.125,21.203125,2.078125,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_006,geography,32,resid_post,none,1.0,South America,19.125,21.453125,2.328125,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_007,geography,32,resid_post,none,0.0,Africa,17.828125,17.828125,0.0,2,2,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_007,geography,32,resid_post,none,0.25,Africa,17.828125,18.296875,0.46875,2,4,-2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_007,geography,32,resid_post,none,0.5,Africa,17.828125,18.59375,0.765625,2,4,-2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_007,geography,32,resid_post,none,0.75,Africa,17.828125,18.578125,0.75,2,4,-2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_007,geography,32,resid_post,none,1.0,Africa,17.828125,18.203125,0.375,2,4,-2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_019,geography,32,resid_post,none,0.0,Asia,19.828125,19.828125,0.0,1,1,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_019,geography,32,resid_post,none,0.25,Asia,19.828125,20.703125,0.875,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_019,geography,32,resid_post,none,0.5,Asia,19.828125,21.375,1.546875,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_019,geography,32,resid_post,none,0.75,Asia,19.828125,21.65625,1.828125,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_019,geography,32,resid_post,none,1.0,Asia,19.828125,21.5,1.671875,1,0,1,0,1,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_022,geography,32,resid_post,none,0.0,South America,18.109375,18.109375,0.0,3,3,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_022,geography,32,resid_post,none,0.25,South America,18.109375,18.71875,0.609375,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_022,geography,32,resid_post,none,0.5,South America,18.109375,19.15625,1.046875,3,1,2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_022,geography,32,resid_post,none,0.75,South America,18.109375,19.421875,1.3125,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_022,geography,32,resid_post,none,1.0,South America,18.109375,19.5,1.390625,3,2,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_025,geography,32,resid_post,none,0.0,NATO,12.484375,12.484375,0.0,13,13,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_025,geography,32,resid_post,none,0.25,NATO,12.484375,12.6328125,0.1484375,13,11,2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_025,geography,32,resid_post,none,0.5,NATO,12.484375,12.7578125,0.2734375,13,10,3,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_025,geography,32,resid_post,none,0.75,NATO,12.484375,12.8828125,0.3984375,13,11,2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_025,geography,32,resid_post,none,1.0,NATO,12.484375,13.0078125,0.5234375,13,10,3,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_028,geography,32,resid_post,none,0.0,Asia,18.78125,18.78125,0.0,2,2,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_028,geography,32,resid_post,none,0.25,Asia,18.78125,19.5,0.71875,2,2,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_028,geography,32,resid_post,none,0.5,Asia,18.78125,20.125,1.34375,2,2,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_028,geography,32,resid_post,none,0.75,Asia,18.78125,20.46875,1.6875,2,2,0,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_028,geography,32,resid_post,none,1.0,Asia,18.78125,20.515625,1.734375,2,1,1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_035,geography,32,resid_post,none,0.0,Asia,18.65625,18.65625,0.0,1,1,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_035,geography,32,resid_post,none,0.25,Asia,18.65625,19.421875,0.765625,1,2,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_035,geography,32,resid_post,none,0.5,Asia,18.65625,19.984375,1.328125,1,2,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_035,geography,32,resid_post,none,0.75,Asia,18.65625,20.171875,1.515625,1,3,-2,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_035,geography,32,resid_post,none,1.0,Asia,18.65625,19.71875,1.0625,1,4,-3,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_043,geography,32,resid_post,none,0.0,South America,17.609375,17.609375,0.0,2,2,0,0,0,unchanged
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_043,geography,32,resid_post,none,0.25,South America,17.609375,18.265625,0.65625,2,3,-1,0,0,helped
results\phase_5b_activation_steering\qwen2.5-3b\noisy_steering_results.csv,geo_043,geography,32,resid_post,none,0.5,South America,17.609375,18.5625,0.953125,2,3,-1,0,0,helped
