example_id,token_count_A,token_count_B,token_count_C,token_count_D,token_count_E,aligned
geo_001,239,239,239,239,239,True
geo_002,239,239,239,239,239,True
geo_003,257,257,257,257,257,True
geo_004,238,238,238,238,238,True
geo_005,257,257,257,257,257,True
geo_006,249,249,249,249,249,True
geo_007,242,242,242,242,242,True
geo_008,242,242,242,242,242,True
geo_009,247,247,247,247,247,True
geo_010,245,245,245,245,245,True
geo_011,238,238,238,238,238,True
geo_012,249,249,249,249,249,True
geo_013,250,250,250,250,250,True
geo_014,244,244,244,244,244,True
geo_015,245,245,245,245,245,True
geo_016,252,252,252,252,252,True
geo_017,249,249,249,249,249,True
geo_018,250,250,250,250,250,True
geo_019,240,240,240,240,240,True
geo_020,245,245,245,245,245,True
geo_021,255,255,255,255,255,True
geo_022,239,239,239,239,239,True
geo_023,240,240,240,240,240,True
geo_024,249,249,249,249,249,True
geo_025,250,250,250,250,250,True
geo_026,243,243,243,243,243,True
geo_027,242,242,242,242,242,True
geo_028,249,249,249,249,249,True
geo_029,260,260,260,260,260,True
geo_030,238,238,238,238,238,True
geo_031,256,256,256,256,256,True
geo_032,251,251,251,251,251,True
geo_033,250,250,250,250,250,True
geo_034,247,247,247,247,247,True
geo_035,244,244,244,244,244,True
geo_036,259,259,259,259,259,True
geo_037,242,242,242,242,242,True
geo_038,257,257,257,257,257,True
geo_039,246,246,246,246,246,True
geo_040,256,256,256,256,256,True
geo_041,259,259,259,259,259,True
geo_042,247,247,247,247,247,True
geo_043,249,249,249,249,249,True
geo_044,262,262,262,262,262,True
geo_045,243,243,243,243,243,True
geo_046,254,254,254,254,254,True
geo_047,245,245,245,245,245,True
geo_048,262,262,262,262,262,True
geo_049,248,248,248,248,248,True
geo_050,244,244,244,244,244,True
sci_001,257,257,257,257,257,True
sci_002,263,263,263,263,263,True
sci_003,247,247,247,247,247,True
sci_004,244,244,244,244,244,True
sci_005,248,248,248,248,248,True
sci_006,244,244,244,244,244,True
sci_007,240,240,240,240,240,True
sci_008,247,247,247,247,247,True
sci_009,250,250,250,250,250,True
sci_010,236,236,236,236,236,True
sci_011,246,246,246,246,246,True
sci_012,246,246,246,246,246,True
sci_013,245,245,245,245,245,True
sci_014,253,253,253,253,253,True
sci_015,253,253,253,253,253,True
sci_016,254,254,254,254,254,True
