example_id,token_count_A,token_count_B,token_count_C,token_count_D,token_count_E,aligned
geo_001,237,237,237,237,237,True
geo_002,234,234,234,234,234,True
geo_003,251,251,251,251,251,True
geo_004,235,235,235,235,235,True
geo_005,248,248,248,248,248,True
geo_006,249,249,249,249,249,True
geo_007,241,241,241,241,241,True
geo_008,242,242,242,242,242,True
geo_009,244,244,244,244,244,True
geo_010,238,238,238,238,238,True
geo_011,231,231,231,231,231,True
geo_012,242,242,242,242,242,True
geo_013,240,240,240,240,240,True
geo_014,243,243,243,243,243,True
geo_015,244,244,244,244,244,True
geo_016,250,250,250,250,250,True
geo_017,257,257,257,257,257,True
geo_018,242,242,242,242,242,True
geo_019,241,241,241,241,241,True
geo_020,243,243,243,243,243,True
geo_021,251,251,251,251,251,True
geo_022,237,237,237,237,237,True
geo_023,240,240,240,240,240,True
geo_024,248,248,248,248,248,True
geo_025,245,245,245,245,245,True
geo_026,241,241,241,241,241,True
geo_027,241,241,241,241,241,True
geo_028,249,249,249,249,249,True
geo_029,254,254,254,254,254,True
geo_030,234,234,234,234,234,True
geo_031,248,248,248,248,248,True
geo_032,251,251,251,251,251,True
geo_033,252,252,252,252,252,True
geo_034,253,253,253,253,253,True
geo_035,243,243,243,243,243,True
geo_036,256,256,256,256,256,True
geo_037,242,242,242,242,242,True
geo_038,256,256,256,256,256,True
geo_039,245,245,245,245,245,True
geo_040,252,252,252,252,252,True
geo_041,250,250,250,250,250,True
geo_042,253,253,253,253,253,True
geo_043,245,245,245,245,245,True
geo_044,267,267,267,267,267,True
geo_045,240,240,240,240,240,True
geo_046,255,255,255,255,255,True
geo_047,240,240,240,240,240,True
geo_048,258,258,258,258,258,True
geo_049,248,248,248,248,248,True
geo_050,245,245,245,245,245,True
sci_001,253,253,253,253,253,True
sci_002,263,263,263,263,263,True
sci_003,240,240,240,240,240,True
sci_004,240,240,240,240,240,True
sci_005,243,243,243,243,243,True
sci_006,239,239,239,239,239,True
sci_007,235,235,235,235,235,True
sci_008,252,252,252,252,252,True
sci_009,256,256,256,256,256,True
sci_010,232,232,232,232,232,True
sci_011,243,243,243,243,243,True
sci_012,241,241,241,241,241,True
sci_013,243,243,243,243,243,True
sci_014,247,247,247,247,247,True
sci_015,251,251,251,251,251,True
sci_016,252,252,252,252,252,True
sci_017,249,249,249,249,249,True
sci_018,252,252,252,252,252,True
sci_019,257,257,257,257,257,True
sci_020,269,269,269,269,269,True
sci_021,245,245,245,245,245,True
sci_022,257,257,257,257,257,True
sci_023,246,246,246,246,246,True
sci_024,260,260,260,260,260,True
sci_025,251,251,251,251,251,True
sci_026,238,238,238,238,238,True
sci_027,250,250,250,250,250,True
sci_028,247,247,247,247,247,True
sci_029,242,242,242,242,242,True
sci_030,259,259,259,259,259,True
sci_031,247,247,247,247,247,True
sci_032,248,248,248,248,248,True
sci_033,243,243,243,243,243,True
sci_034,267,267,267,267,267,True
sci_035,253,253,253,253,253,True
sci_036,249,249,249,249,249,True
sci_037,241,241,241,241,241,True
sci_038,238,238,238,238,238,True
sci_039,252,252,252,252,252,True
sci_040,247,247,247,247,247,True
sci_041,258,258,258,258,258,True
sci_042,253,253,253,253,253,True
sci_043,257,257,257,257,257,True
sci_044,259,259,259,259,259,True
sci_045,256,256,256,256,256,True
sci_046,251,251,251,251,251,True
sci_047,257,257,257,257,257,True
sci_048,230,230,230,230,230,True
sci_049,246,246,246,246,246,True
sci_050,264,264,264,264,264,True
bio_001,243,243,243,243,243,True
bio_002,249,249,249,249,249,True
bio_003,244,244,244,244,244,True
bio_004,247,247,247,247,247,True
bio_005,247,247,247,247,247,True
bio_006,266,266,266,266,266,True
bio_007,252,252,252,252,252,True
bio_008,239,239,239,239,239,True
bio_009,245,245,245,245,245,True
bio_010,248,248,248,248,248,True
bio_011,244,244,244,244,244,True
bio_012,227,227,227,227,227,True
bio_013,236,236,236,236,236,True
bio_014,241,241,241,241,241,True
bio_015,243,243,243,243,243,True
bio_016,246,246,246,246,246,True
bio_017,253,253,253,253,253,True
bio_018,255,255,255,255,255,True
bio_019,239,239,239,239,239,True
bio_020,252,252,252,252,252,True
bio_021,240,240,240,240,240,True
bio_022,235,235,235,235,235,True
bio_023,250,250,250,250,250,True
bio_024,257,257,257,257,257,True
bio_025,259,259,259,259,259,True
bio_026,256,256,256,256,256,True
bio_027,270,270,270,270,270,True
bio_028,250,250,250,250,250,True
bio_029,248,248,248,248,248,True
bio_030,243,243,243,243,243,True
bio_031,252,252,252,252,252,True
bio_032,261,261,261,261,261,True
bio_033,249,249,249,249,249,True
bio_034,244,244,244,244,244,True
bio_035,248,248,248,248,248,True
bio_036,243,243,243,243,243,True
bio_037,275,275,275,275,275,True
bio_038,245,245,245,245,245,True
bio_039,251,251,251,251,251,True
bio_040,254,254,254,254,254,True
bio_041,240,240,240,240,240,True
bio_042,246,246,246,246,246,True
bio_043,259,259,259,259,259,True
bio_044,265,265,265,265,265,True
bio_045,270,270,270,270,270,True
bio_046,244,244,244,244,244,True
bio_047,260,260,260,260,260,True
bio_048,250,250,250,250,250,True
bio_049,247,247,247,247,247,True
bio_050,244,244,244,244,244,True
cul_001,246,246,246,246,246,True
cul_002,256,256,256,256,256,True
cul_003,242,242,242,242,242,True
cul_004,247,247,247,247,247,True
cul_005,253,253,253,253,253,True
cul_006,260,260,260,260,260,True
cul_007,254,254,254,254,254,True
cul_008,251,251,251,251,251,True
cul_009,247,247,247,247,247,True
cul_010,244,244,244,244,244,True
cul_011,251,251,251,251,251,True
cul_012,258,258,258,258,258,True
cul_013,256,256,256,256,256,True
cul_014,253,253,253,253,253,True
cul_015,250,250,250,250,250,True
cul_016,244,244,244,244,244,True
cul_017,268,268,268,268,268,True
cul_018,234,234,234,234,234,True
cul_019,262,262,262,262,262,True
cul_020,253,253,253,253,253,True
cul_021,256,256,256,256,256,True
cul_022,236,236,236,236,236,True
cul_023,256,256,256,256,256,True
cul_024,259,259,259,259,259,True
cul_025,256,256,256,256,256,True
cul_026,239,239,239,239,239,True
cul_027,254,254,254,254,254,True
cul_028,250,250,250,250,250,True
cul_029,247,247,247,247,247,True
cul_030,257,257,257,257,257,True
cul_031,240,240,240,240,240,True
cul_032,253,253,253,253,253,True
cul_033,247,247,247,247,247,True
cul_034,257,257,257,257,257,True
cul_035,250,250,250,250,250,True
cul_036,249,249,249,249,249,True
cul_037,262,262,262,262,262,True
cul_038,242,242,242,242,242,True
cul_039,263,263,263,263,263,True
cul_040,245,245,245,245,245,True
cul_041,243,243,243,243,243,True
cul_042,252,252,252,252,252,True
cul_043,247,247,247,247,247,True
cul_044,250,250,250,250,250,True
cul_045,255,255,255,255,255,True
cul_046,248,248,248,248,248,True
cul_047,256,256,256,256,256,True
cul_048,258,258,258,258,258,True
cul_049,260,260,260,260,260,True
cul_050,251,251,251,251,251,True
