model,diagnostic,example_id,domain,source_cell,donor_cell,layer,hook,token_position,alpha,split,gold_answer,gold_token_id,per_example_vector_l2_norm,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1
Qwen/Qwen2.5-3B,oracle,geo_002,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Asia,13622,154.921630859375,17.34375,18.890625,1.546875,4,1,3,0,0
Qwen/Qwen2.5-3B,oracle,geo_002,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Asia,13622,154.921630859375,17.34375,20.40625,3.0625,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,geo_002,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Asia,13622,154.921630859375,17.34375,21.9375,4.59375,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,geo_002,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Asia,13622,154.921630859375,17.34375,23.421875,6.078125,4,0,4,0,1
Qwen/Qwen2.5-3B,oracle,geo_006,geography,B,D,34,resid_post,final_prompt_token,0.25,test,South America,4882,151.69302368164062,19.125,20.296875,1.171875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_006,geography,B,D,34,resid_post,final_prompt_token,0.5,test,South America,4882,151.69302368164062,19.125,21.53125,2.40625,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_006,geography,B,D,34,resid_post,final_prompt_token,0.75,test,South America,4882,151.69302368164062,19.125,22.796875,3.671875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_006,geography,B,D,34,resid_post,final_prompt_token,1.0,test,South America,4882,151.69302368164062,19.125,24.046875,4.921875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_007,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Africa,10174,155.69383239746094,17.828125,19.125,1.296875,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_007,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Africa,10174,155.69383239746094,17.828125,20.421875,2.59375,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_007,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Africa,10174,155.69383239746094,17.828125,21.734375,3.90625,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_007,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Africa,10174,155.69383239746094,17.828125,23.0625,5.234375,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_019,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Asia,13622,149.08255004882812,19.828125,20.859375,1.03125,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_019,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Asia,13622,149.08255004882812,19.828125,21.9375,2.109375,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_019,geography,B,D,34,resid_post,final_prompt_token,0.75,test,Asia,13622,149.08255004882812,19.828125,23.046875,3.21875,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_019,geography,B,D,34,resid_post,final_prompt_token,1.0,test,Asia,13622,149.08255004882812,19.828125,24.171875,4.34375,1,0,1,0,1
Qwen/Qwen2.5-3B,oracle,geo_022,geography,B,D,34,resid_post,final_prompt_token,0.25,test,South America,4882,137.43844604492188,18.109375,19.1875,1.078125,3,1,2,0,0
Qwen/Qwen2.5-3B,oracle,geo_022,geography,B,D,34,resid_post,final_prompt_token,0.5,test,South America,4882,137.43844604492188,18.109375,20.359375,2.25,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_022,geography,B,D,34,resid_post,final_prompt_token,0.75,test,South America,4882,137.43844604492188,18.109375,21.59375,3.484375,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_022,geography,B,D,34,resid_post,final_prompt_token,1.0,test,South America,4882,137.43844604492188,18.109375,22.875,4.765625,3,0,3,0,1
Qwen/Qwen2.5-3B,oracle,geo_025,geography,B,D,34,resid_post,final_prompt_token,0.25,test,NATO,29234,168.39315795898438,12.484375,14.703125,2.21875,13,4,9,0,0
Qwen/Qwen2.5-3B,oracle,geo_025,geography,B,D,34,resid_post,final_prompt_token,0.5,test,NATO,29234,168.39315795898438,12.484375,16.859375,4.375,13,3,10,0,0
Qwen/Qwen2.5-3B,oracle,geo_025,geography,B,D,34,resid_post,final_prompt_token,0.75,test,NATO,29234,168.39315795898438,12.484375,18.953125,6.46875,13,2,11,0,0
Qwen/Qwen2.5-3B,oracle,geo_025,geography,B,D,34,resid_post,final_prompt_token,1.0,test,NATO,29234,168.39315795898438,12.484375,20.96875,8.484375,13,0,13,0,1
Qwen/Qwen2.5-3B,oracle,geo_028,geography,B,D,34,resid_post,final_prompt_token,0.25,test,Asia,13622,174.32815551757812,18.78125,20.265625,1.484375,2,0,2,0,1
Qwen/Qwen2.5-3B,oracle,geo_028,geography,B,D,34,resid_post,final_prompt_token,0.5,test,Asia,13622,174.32815551757812,18.78125,21.65625,2.875,2,0,2,0,1
