model,example_id,domain,source_cell,donor_cell,layer,hook,token_position,control,alpha,split,gold_answer,gold_token_id,baseline_gold_logit,steered_gold_logit,delta_gold_logit,baseline_gold_rank,steered_gold_rank,delta_gold_rank,baseline_top1,steered_top1,random_seed
Qwen/Qwen2.5-3B,geo_002,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.0,test,Asia,13622,17.34375,17.34375,0.0,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_002,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.25,test,Asia,13622,17.34375,17.265625,-0.078125,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_002,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.5,test,Asia,13622,17.34375,17.015625,-0.328125,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_002,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.75,test,Asia,13622,17.34375,16.609375,-0.734375,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_002,geography,B,D,8,resid_post,final_prompt_token,early_layer,1.0,test,Asia,13622,17.34375,16.1875,-1.15625,4,4,0,0,0,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.0,test,South America,4882,19.125,19.125,0.0,1,1,0,0,0,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.25,test,South America,4882,19.125,19.140625,0.015625,1,1,0,0,0,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.5,test,South America,4882,19.125,19.03125,-0.09375,1,1,0,0,0,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.75,test,South America,4882,19.125,18.71875,-0.40625,1,1,0,0,0,
Qwen/Qwen2.5-3B,geo_006,geography,B,D,8,resid_post,final_prompt_token,early_layer,1.0,test,South America,4882,19.125,18.328125,-0.796875,1,1,0,0,0,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.0,test,Africa,10174,17.828125,17.828125,0.0,2,2,0,0,0,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.25,test,Africa,10174,17.828125,17.75,-0.078125,2,3,-1,0,0,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.5,test,Africa,10174,17.828125,17.578125,-0.25,2,3,-1,0,0,
Qwen/Qwen2.5-3B,geo_007,geography,B,D,8,resid_post,final_prompt_token,early_layer,0.75,test,Africa,10174,17.828125,17.3125,-0.515625,2,4,-2,0,0,
