example_id,domain,layer,component,hook_name,metric,gold_answer,gold_token_id,gold_token_str,gold_token_count,direct_token_count,structured_token_count,baseline_score,patched_score,delta,valid_example,skip_reason
geo_002,geography,31,attn_out,blocks.31.hook_attn_out,logit,Asia,13622, Asia,1,234,234,17.34375,17.78125,0.4375,True,
geo_002,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,Asia,13622, Asia,1,234,234,17.34375,17.640625,0.296875,True,
geo_002,geography,32,attn_out,blocks.32.hook_attn_out,logit,Asia,13622, Asia,1,234,234,17.34375,18.140625,0.796875,True,
geo_002,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,Asia,13622, Asia,1,234,234,17.34375,17.46875,0.125,True,
geo_002,geography,33,attn_out,blocks.33.hook_attn_out,logit,Asia,13622, Asia,1,234,234,17.34375,18.234375,0.890625,True,
geo_002,geography,33,mlp_out,blocks.33.hook_mlp_out,logit,Asia,13622, Asia,1,234,234,17.34375,17.5,0.15625,True,
geo_002,geography,34,attn_out,blocks.34.hook_attn_out,logit,Asia,13622, Asia,1,234,234,17.34375,17.59375,0.25,True,
geo_002,geography,34,mlp_out,blocks.34.hook_mlp_out,logit,Asia,13622, Asia,1,234,234,17.34375,18.171875,0.828125,True,
geo_002,geography,35,attn_out,blocks.35.hook_attn_out,logit,Asia,13622, Asia,1,234,234,17.34375,17.328125,-0.015625,True,
geo_002,geography,35,mlp_out,blocks.35.hook_mlp_out,logit,Asia,13622, Asia,1,234,234,17.34375,17.3125,-0.03125,True,
geo_003,geography,31,attn_out,blocks.31.hook_attn_out,logit,the Australian dollar,279, the,3,251,251,17.5,17.953125,0.453125,True,
geo_003,geography,31,mlp_out,blocks.31.hook_mlp_out,logit,the Australian dollar,279, the,3,251,251,17.5,18.046875,0.546875,True,
geo_003,geography,32,attn_out,blocks.32.hook_attn_out,logit,the Australian dollar,279, the,3,251,251,17.5,17.90625,0.40625,True,
geo_003,geography,32,mlp_out,blocks.32.hook_mlp_out,logit,the Australian dollar,279, the,3,251,251,17.5,17.578125,0.078125,True,
geo_003,geography,33,attn_out,blocks.33.hook_attn_out,logit,the Australian dollar,279, the,3,251,251,17.5,17.59375,0.09375,True,
